no,name,type,address,link,distance,like
1,맥도날드 판교테크노,패스트푸드점,"경기 성남시 분당구 판교역로 231, 1층 110호, 111호 (삼평동,에이치스퀘어 에스동)",https://store.naver.com/restaurants/detail?id=37576885,🚶,916
2,천야,일반음식점,"경기 성남시 분당구 대왕판교로 670 (삼평동,유스페이스2.지하1층B119-9~B119-12호)",https://store.naver.com/restaurants/detail?id=1581187600,🚶,160
3,스타차이나판교점,중식전문점,"경기 성남시 분당구 판교로319번길 13 (삼평동,디테라스1층 104호~106호)",https://store.naver.com/restaurants/detail?entry=plt&id=1994775424&query=%EC%8A%A4%ED%83%80%EC%B0%A8%EC%9D%B4%EB%82%98%20%ED%8C%90%EA%B5%90%EC%A0%90,🚶,47
4,하나스시,일식/생선회집,"경기 성남시 분당구 판교역로 240, A-208 삼평동.하이펙스",https://store.naver.com/restaurants/detail?entry=plt&id=36417179&query=%ED%95%98%EB%82%98%EC%8A%A4%EC%8B%9C,🚶,45
5,치킨마루 판교테크노밸리점,치킨전문점,"경기 성남시 분당구 판교역로 235, 삼평동 681 N동 101~102호(삼평동,에이치스퀘어)",https://store.naver.com/restaurants/detail?id=1178854400,🚶,41
6,만강,한식,"경기 성남시 분당구 장미로92번길 7-5, (야탑동)",https://store.naver.com/restaurants/detail?id=18489486,🚗,24
7,더 밸류 펍,일반주점,"경기 성남시 분당구 대왕판교로 670, 3층 316호 (삼평동,유스페이스2)",https://store.naver.com/restaurants/detail?entry=plt&id=1762258931&query=%EB%8D%94%EB%B0%B8%EB%A5%98%ED%8E%8D,🚶,6
8,빈티지1988,서양식전문점,"경기 성남시 분당구 판교역로 231 (삼평동,에이치스퀘어에스동1층101호)",https://store.naver.com/restaurants/detail?entry=plt&id=38309897&query=%EB%B9%88%ED%8B%B0%EC%A7%801988,🚶,33
9,롤링핀 경기판교점,카페,"경기 성남시 분당구 판교역로192번길 12, (삼평동)",https://store.naver.com/restaurants/detail?id=35178468,🏃,23
10,외고집설렁탕,한식,"경기 성남시 분당구 판교역로 240, A-204 삼평동.삼환하이펙스",https://store.naver.com/restaurants/detail?entry=plt&id=33707487&query=%EC%99%B8%EA%B3%A0%EC%A7%91%EC%84%A4%EB%A0%81%ED%83%95%20%ED%8C%90%EA%B5%90%EC%A0%90,🚶,65
