,상호,계,업종,주소,거리
1,맥도날드 판교테크노,916,패스트푸드점,"경기 성남시 분당구 판교역로 231, 1층 110호, 111호 (삼평동,에이치스퀘어 에스동)",3분
2,기름짜는김밥집,485,일반음식점,"경기 성남시 분당구 판교역로 231, 118호 (삼평동,에이치스퀘어 에스동)",3분
3,차이엔,442,중식전문점,"경기 성남시 분당구 판교역로 235, N동 1층 126호 (삼평동,에이치스퀘어)",코앞
4,판교점담소소사골순대육개장,412,일반음식점,"경기 성남시 분당구 판교역로 231, 1층 105호,106호 (삼평동,에이치스퀘어 에스동)",3분
5,써브웨이판교테크노벨리점,382,패스트푸드점,"경기 성남시 분당구 대왕판교로670,유스페이스2. 1층119호(삼평동) ",3분
6,영심이네,363,일반음식점,"경기 성남시 분당구 판교역로 240, A동 103, 104호 (삼평동,삼환하이펙스)",3분
7,김가네,351,일반음식점,"경기 성남시 분당구 판교역로 231 (삼평동,에이치스퀘어에스동1층 126호 전체)",3분
8,두부가보쌈애,342,일반음식점 기타,"경기 성남시 분당구 판교역로 235, 에치스퀘이제엔동B111호",3분
9,해도락,327,일반음식점,"경기 성남시 분당구 판교역로 235 (삼평동,에이치스퀘어N동 130,131,132호)",코앞
10,봉피양 (판교),268,일반음식점,"경기 성남시 분당구 판교역로 235, 121,122호 (삼평동,에이치스퀘어 엔동)",코앞
11,미쁜선순대,259,한식,"경기 성남시 분당구 판교역로 240, (삼평동,삼환하이펙스A동125호,126호)",3분
12,김밥천국,254,한식,경기 성남시 분당구 삼평동 680 판교테크노벨리S블럭B119호,4분
13,픽유어온샐러드,236,일반음식점,"경기 성남시 분당구 판교역로 240, 1층 120호 (삼평동,삼환하이펙스A동)",4분
14,조마루감자탕판교점,219,일반음식점,"경기 성남시 분당구 판교역로 231 (삼평동,에이치스퀘어에스동1층129호,130호)",4분
15,삼미칼국수,180,일반음식점,"경기 성남시 분당구 판교역로 240, B118호 (삼환하이펙스,A동) (삼평동)",4분
16,순남시래기판교테크노벨리점,174,일반음식점,"경기 성남시 분당구 판교역로 235, 1층 127호 (삼평동,에이치스퀘어 엔동)",4분
17,버거킹판교유스페이스,171,패스트푸드점,"경기 성남시 분당구 대왕판교로 660,유스페이스1,111호,112호(삼평동)",10분
18,우영관,169,일반음식점,"경기 성남시 분당구 분당내곡로 117, 2층 202호 (백현동,알파돔타워IV)",17분
19,미정국수0410판교점,162,일반음식점,"경기 성남시 분당구 판교역로 231, 지하1층,B104호,B105호 (삼평동,에이치스퀘어 에스동)",4분
20,천야,160,일반음식점,"경기 성남시 분당구 대왕판교로 670 (삼평동,유스페이스2.지하1층B119-9~B119-12호)",4분
21,베이징스토리,160,중식전문점,"경기 성남시 분당구 판교역로 230 (삼평동,삼환하이펙스B동1층120-1,121,121-1,121-2호)",5분
22,소공동뚝배기집판교점,159,일반음식점,"경기 성남시 분당구 판교역로 240, 삼환하이펙스A동B105호,B105-1호 (삼평동)",5분
23,샐러드박스 판교에이치스퀘어점,159,서양식전문점,"경기 성남시 분당구 판교역로 231, 에스동 비1층 비106호 (삼평동,에이치스퀘어)",4분
24,전주현대옥 판교점,158,일반음식점,"경기 성남시 분당구 대왕판교로 670, (유스페이스2. 1층122호일부) (삼평동)",3분
25,양평해장국,158,일반음식점,"경기 성남시 분당구 판교역로 230,(삼환하이펙스B동B-117호)(삼평동)",7분
26,늘솜,149,일반음식점,"경기 성남시 분당구 삼평동 680 에이치스퀘어 에스동1층110호,111호",5분
27,분당등심촌,145,일반음식점,"경기 성남시 분당구 판교역로 235, 1층 123호 (삼평동,에이치스퀘어 엔동)",코앞
28,이태리부대찌개판교점,136,일반음식점,"경기 성남시 분당구 판교역로230, 1층 B동 B117-1호 (삼평동,삼환하이 ",4분
29,소호반점101,131,중식전문점,"경기 성남시 분당구 판교역로 240, A동 지하1층 B-101호 (삼평동,삼환하이펙스)",2분
30,부산아지매국밥판교점,130,일반음식점,"경기 성남시 분당구 판교역로241번길 22, 엠타워1층 112,113,114호. (삼평동)",3분
31,내니인마이애미(NannyinMiami),128,일반음식점,"경기 성남시 분당구 판교역로 235, 118호 (삼평동,(에이치스퀘어 N동))",코앞
32,서호돈가스,124,일반음식점 기타,"경기 성남시 분당구 판교역로 231, S동 1층 124호 (삼평동,에이치스퀘어)",코앞
33,커먼키친,117,일반음식점,"경기 성남시 분당구 판교역로 235 (삼평동,에이치스퀘어엔동B107호)",코앞
34,뻘낙지한마당,116,한식,"경기 성남시 분당구 판교역로 235, N동 1층 125호 (삼평동,에이치스퀘어 엔동)",코앞
35,만복국수판교테크노밸리점,113,일반음식점,"경기 성남시 분당구 판교역로 235, 1층 108호 (삼평동,에이치스퀘어 엔동)",코앞
36,신기소,109,일식전문점,"경기 성남시 분당구 삼평동 680 에이치스퀘어 에스동 지하1층 B129,B130호",3분
37,춘업순댓국,108,일반음식점,"경기 성남시 분당구 판교역로 231, B113호 (에이치스퀘어 에스동 지1층.) (삼평동)",4분
38,일상화식,102,일식/생선회집,"경기 성남시 분당구 대왕판교로 670, 2층 226호 (삼평동,유스페이스2)",3분
39,소호정(티-밸리점),102,일반음식점,"경기 성남시 분당구 대왕판교로 670, 유스페이스2지하1층B117호 (삼평동)",2분
40,교동냉면(주)파파스다이닝,102,일반음식점,"경기 성남시 분당구 판교역로 240, A동 지하1층 ((B-102호) (삼평동,삼환하이펙스)",2분
41,이희김밥,100,일반음식점,"경기 성남시 분당구 판교역로241번길 22, 1층 118호 (삼평동,엠타워)",3분
42,명동칼국수샤브샤브판교테크노밸리,97,일반음식점,"경기 성남시 분당구 판교역로 231, 지하1층 B131호, B132호 (삼평동,에이치스퀘어에스동)",4분
43,에그드랍판교테크노벨리점(주)에스,95,일반음식점,"경기 성남시 분당구 판교역로 231, S동 1층 104호 (삼평동,에이치스퀘어)",3분
44,조재벌한우국밥,94,일반음식점,"경기 성남시 분당구 판교로319번길 13, (디테라스 지1층105호,106호) (삼평동)",4분
45,마마스포,90,일반음식점,"경기 성남시 분당구 판교역로 235, 103,104호 (삼평동,에이치스퀘어 엔동)",코앞
46,김밥시간,87,한식,"경기 성남시 분당구 판교역로 240, A동 106호 (삼평동,삼환하이펙스)",2분
47,미소한우소고기국밥,85,한식,"경기 성남시 분당구 판교역로 235, 1층 124호 (삼평동,에이치스퀘어 엔동)",13분
48,토속상황삼계탕,84,일반음식점,"경기 성남시 분당구 대왕판교로 670 (삼평동,유스페이스2 2층225호)",3분
49,부대집 (주)마켓빌더즈코리아,78,일반음식점,"경기 성남시 분당구 대왕판교로 670, 유스페이스2, ,2층 224호 (삼평동)",3분
50,다루마,77,일반음식점,"경기 성남시 분당구 판교역로 240, 지하1호 B123호 (삼평동,삼환하이펙스A동)",5분
51,서경,75,일반음식점,"경기 성남시 분당구 판교역로 240, 삼환하이펙스 A동 지하1층 B104호 (삼평동)",2분
52,숯불재벌장어,74,일반음식점,"경기 성남시 분당구 대왕판교로 660, 유스페이스1 103-1,103-2 (삼평동)",2분
53,뉴포커리,74,서양식전문점,"경기 성남시 분당구 판교역로 231, S동 123호 (삼평동,에이치스퀘어)",4분
54,가장맛있는족발,74,일반음식점,"경기 성남시 분당구 대왕판교로 660, 1층143,155,156호,유스페이스1, (삼평동)",6분
55,서울전통육개장판교점,69,한식,"경기 성남시 분당구 판교역로 240-0,지하1층 108-1호 (삼평동,삼환하이 ",2분
56,평가옥,68,일반음식점,"경기 성남시 분당구 대왕판교로 660, 1층 102호 (삼평동,유스페이스1)",2분
57,이츠,68,일식전문점,"경기 성남시 분당구 판교역로 231, S동 223호 (삼평동,에이치스퀘어 에스동)",4분
